model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,make
 A Class,2017,"$28,499 ",Semi-Auto,33024,Petrol,145,40.9,2,merc
 3 Series,2019,"$25,690 ",Semi-Auto,21544,Petrol,145,42.2,2,BMW
 EcoSport,2016,"$9,295 ",Manual,28053,Diesel,30,64.2,1.5,ford
 Citigo,2016,"$5,998 ",Manual,15125,Petrol,20,62.8,1,skoda
 X1,2016,"$19,990 ",Automatic,20000,Diesel,150,56.5,2,BMW
 Focus,2017,"$11,649 ",Manual,23765,Diesel,145,74.3,1.5,ford
 Fabia,2017,"$7,498 ",Manual,26226,Petrol,145,64.2,1,skoda
 Yaris,2017,"$13,256 ",Automatic,2563,Hybrid,0,86,1.5,toyota
 X5,2018,"$37,692 ",Automatic,24786,Diesel,145,47.1,3,BMW
 Focus,2011,"$3,995 ",Automatic,66164,Petrol,205,42.2,1.6,ford
 Octavia,2017,"$10,295 ",Manual,28211,Petrol,145,58.9,1,skoda
 GLC Class,2018,"$26,890 ",Semi-Auto,15200,Diesel,145,41.5,2.1,merc
 Octavia,2017,"$10,890 ",Semi-Auto,42964,Petrol,145,57.7,1.4,skoda
 Golf,2015,"$10,491 ",Manual,47599,Diesel,20,68.9,2,volkswagen
 GLC Class,2019,"$41,995 ",Semi-Auto,1367,Diesel,150,40.4,2,merc
 A Class,2018,"$18,562 ",Semi-Auto,18905,Diesel,145,65.7,1.5,merc
 Zafira,2017,"$11,298 ",Manual,8504,Petrol,205,41.5,1.4,vauxhall
 Octavia,2016,"$10,695 ",Manual,84360,Diesel,30,62.8,2,skoda
 X5,2017,"$34,990 ",Automatic,18000,Diesel,200,47.1,3,BMW
 Q3,2013,"$11,699 ",Manual,36954,Diesel,145,54.3,2,Audi
 Tucson,2017,"$15,490 ",Automatic,28354,Diesel,150,46.3,2,hyundi
 3 Series,2013,"$11,001 ",Manual,61000,Diesel,125,58.9,2,BMW
 Golf SV,2018,"$14,999 ",Semi-Auto,18622,Petrol,145,55.4,1.5,volkswagen
 Verso,2015,"$9,291 ",Semi-Auto,88412,Petrol,165,43.5,1.8,toyota
 Yeti,2017,"$13,990 ",Semi-Auto,28280,Petrol,145,51.4,1.2,skoda
 Corsa,2016,"$6,295 ",Manual,23248,Petrol,30,55.4,1.4,vauxhall
 A5,2019,"$24,975 ",Semi-Auto,17912,Petrol,145,40.4,2,Audi
 Polo,2019,"$15,990 ",Manual,3268,Petrol,145,49.6,1,volkswagen
 Focus,2018,"$11,660 ",Manual,46995,Petrol,145,60.1,1,ford
 Golf,2019,"$15,989 ",Manual,12627,Petrol,145,46.3,1.5,volkswagen
 Polo,2017,"$9,980 ",Manual,21560,Petrol,150,60.1,1,volkswagen
 Focus,2018,"$13,600 ",Manual,13144,Petrol,145,58.9,1,ford
 Polo,2019,"$15,995 ",Manual,230,Petrol,145,47.9,1,volkswagen
 Corsa,2010,"$4,495 ",Manual,40214,Petrol,125,51.4,1.4,vauxhall
 Fiesta,2018,"$10,390 ",Manual,23345,Petrol,145,62.8,1,ford
 Kuga,2018,"$16,000 ",Manual,8483,Diesel,145,60.1,2,ford
 A Class,2016,"$11,900 ",Manual,78772,Diesel,30,62.8,2.1,merc
 Corsa,2019,"$9,999 ",Manual,1440,Petrol,145,43.5,1.4,vauxhall
 A4,2016,"$21,999 ",Semi-Auto,30675,Diesel,30,61.4,3,Audi
 Mokka X,2017,"$9,667 ",Manual,22966,Petrol,145,47.1,1.4,vauxhall
 Antara,2015,"$6,500 ",Manual,52889,Diesel,240,44.1,2.2,vauxhall
 E Class,2016,"$18,995 ",Semi-Auto,18723,Diesel,125,60.1,2.1,merc
 Focus,2014,"$11,607 ",Manual,23000,Petrol,235,39.2,2,ford
 4 Series,2019,"$25,480 ",Semi-Auto,8042,Diesel,145,65.7,2,BMW
 A Class,2019,"$21,499 ",Semi-Auto,6690,Petrol,145,53.3,1.3,merc
 Q5,2020,"$37,444 ",Automatic,3000,Petrol,145,32.1,2,Audi
 Superb,2019,"$15,280 ",Manual,40100,Diesel,145,64.2,2,skoda
 Astra,2017,"$8,371 ",Manual,46230,Petrol,145,51.4,1.4,vauxhall
 E Class,2013,"$12,230 ",Automatic,77492,Diesel,160,51.4,2.1,merc
 X1,2017,"$20,980 ",Semi-Auto,31630,Diesel,150,55.4,2,BMW
 X1,2018,"$21,980 ",Semi-Auto,10708,Diesel,145,60.1,2,BMW
 5 Series,2019,"$42,650 ",Semi-Auto,101,Petrol,145,50.4,2,BMW
 8 Series,2020,"$56,990 ",Semi-Auto,3242,Petrol,150,33.6,3,BMW
 Mondeo,2014,"$9,149 ",Manual,32904,Diesel,30,61.4,2,ford
 Aygo,2017,"$7,998 ",Manual,6730,Petrol,145,68.9,1,toyota
 B Class,2018,"$18,999 ",Semi-Auto,13868,Petrol,150,50.4,1.6,merc
 Fiesta,2017,"$9,899 ",Manual,30526,Petrol,0,65.7,1,ford
 3 Series,2016,"$12,400 ",Manual,33270,Petrol,150,48.7,2,BMW
 Fiesta,2018,"$11,995 ",Manual,12080,Petrol,150,65.7,1,ford
 Ka+,2019,"$11,299 ",Manual,2516,Petrol,145,43.5,1.2,ford
 Mokka X,2019,"$14,494 ",Manual,9104,Petrol,145,39.2,1.4,vauxhall
 Focus,2020,"$22,990 ",Automatic,185,Diesel,145,54.3,1.5,ford
 X2,2019,"$27,806 ",Semi-Auto,2198,Petrol,145,36.2,2,BMW
 Polo,2017,"$8,800 ",Manual,24881,Petrol,145,60.1,1,volkswagen
 Polo,2016,"$9,495 ",Manual,48511,Petrol,20,60.1,1.2,volkswagen
 C-MAX,2017,"$12,500 ",Manual,12928,Petrol,30,55.4,1,ford
 Golf,2018,"$15,790 ",Manual,12652,Diesel,145,55.4,1.6,volkswagen
 Ka+,2019,"$10,495 ",Manual,5000,Petrol,145,43.5,1.2,ford
 GLE Class,2019,"$54,991 ",Automatic,1644,Diesel,145,32.8,3,merc
 A6,2017,"$15,000 ",Automatic,64962,Diesel,145,64.2,2,Audi
 Mokka,2013,"$7,290 ",Manual,42105,Diesel,125,57.6,1.7,vauxhall
 4 Series,2019,"$23,480 ",Automatic,5738,Diesel,145,65.7,2,BMW
 Fabia,2017,"$11,495 ",Manual,17001,Petrol,20,58.9,1.2,skoda
 2 Series,2018,"$14,157 ",Automatic,29590,Petrol,145,53.3,1.5,BMW
 4 Series,2016,"$20,499 ",Automatic,16955,Diesel,145,53.3,3,BMW
 Mokka,2017,"$10,800 ",Manual,21480,Petrol,145,42.2,1.6,vauxhall
 A5,2020,"$27,900 ",Semi-Auto,5000,Petrol,145,40.4,2,Audi
 Focus,2015,"$10,699 ",Manual,21462,Petrol,125,51.4,1.5,ford
 Focus,2019,"$26,000 ",Manual,8480,Petrol,145,34.5,2.3,ford
 Fiesta,2018,"$11,499 ",Semi-Auto,35113,Petrol,145,54.3,1,ford
 Fiesta,2017,"$9,500 ",Manual,17373,Petrol,0,65.7,1,ford
 Passat,2016,"$10,298 ",Manual,56038,Diesel,20,68.9,2,volkswagen
 Polo,2019,"$14,495 ",Manual,15749,Petrol,150,52.3,1,volkswagen
 Fabia,2017,"$11,495 ",Semi-Auto,11184,Petrol,20,60.1,1.2,skoda
 Mokka X,2018,"$13,995 ",Manual,15265,Petrol,145,39.2,1.4,vauxhall
 1 Series,2016,"$9,749 ",Manual,56044,Diesel,0,78.5,1.5,BMW
 Kamiq,2020,"$19,885 ",Semi-Auto,1575,Petrol,145,43.5,1.5,skoda
 Fiesta,2017,"$9,990 ",Manual,13051,Petrol,145,65.7,1,ford
 Golf,2019,"$19,950 ",Manual,5000,Petrol,145,49.6,1.5,volkswagen
 Focus,2015,"$7,700 ",Manual,47192,Diesel,20,67.3,1.6,ford
 Adam,2015,"$5,991 ",Manual,44500,Petrol,125,53.3,1.2,vauxhall
 Polo,2016,"$9,589 ",Manual,9476,Petrol,20,60.1,1,volkswagen
 Q5,2020,"$45,000 ",Semi-Auto,2500,Diesel,145,37.2,2,Audi
 2 Series,2019,"$21,000 ",Manual,50,Petrol,145,52.3,1.5,BMW
 Fiesta,2013,"$6,298 ",Manual,40803,Diesel,0,76.4,1.5,ford
 Polo,2016,"$13,290 ",Semi-Auto,12215,Petrol,20,60.1,1.2,volkswagen
 Q7,2019,"$52,995 ",Automatic,8000,Diesel,145,33.2,3,Audi
 Yaris,2013,"$5,500 ",Manual,49617,Petrol,125,51.4,1.3,toyota
 Corsa,2017,"$8,191 ",Manual,16477,Petrol,150,54.3,1.4,vauxhall
 T-Cross,2019,"$16,999 ",Manual,4899,Petrol,145,47.9,1,volkswagen
 Astra,2017,"$8,910 ",Manual,36921,Diesel,145,78.5,1.6,vauxhall
 C Class,2016,"$16,475 ",Automatic,34452,Diesel,30,64.2,2.1,merc
 Golf,2016,"$16,242 ",Semi-Auto,21779,Petrol,20,60.1,1.4,volkswagen
 Auris,2014,"$8,995 ",Semi-Auto,4500,Petrol,145,49.6,1.6,toyota
 Focus,2016,"$9,797 ",Manual,25286,Diesel,0,74.3,1.5,ford
 Karoq,2019,"$21,950 ",Automatic,11960,Petrol,145,50.4,1.5,skoda
 E Class,2017,"$22,750 ",Automatic,20737,Diesel,145,65.7,2,merc
 Yaris,2016,"$13,290 ",Automatic,20924,Hybrid,0,78,1.5,toyota
 Yeti Outdoor,2017,"$13,498 ",Semi-Auto,40045,Petrol,150,51.4,1.2,skoda
 5 Series,2019,"$31,950 ",Semi-Auto,10776,Diesel,145,60.1,3,BMW
 1 Series,2012,"$5,495 ",Manual,73853,Diesel,125,60.1,2,BMW
 Up,2019,"$11,975 ",Manual,14702,Petrol,150,50.4,1,volkswagen
 Fiesta,2013,"$6,491 ",Manual,51988,Diesel,0,78.5,1.6,ford
 A Class,2020,"$25,991 ",Semi-Auto,5797,Diesel,145,62.8,1.5,merc
 Tiguan Allspace,2019,"$26,998 ",Semi-Auto,4814,Diesel,150,39.2,2,volkswagen
 C-HR,2017,"$21,990 ",Automatic,19741,Hybrid,135,74.3,1.8,toyota
 Tiguan,2016,"$17,450 ",Automatic,27847,Diesel,160,49.6,2,volkswagen
 Superb,2020,"$23,290 ",Semi-Auto,495,Diesel,145,47.9,1.6,skoda
 A5,2019,"$32,970 ",Semi-Auto,8275,Diesel,150,44.8,2,Audi
 Fiesta,2016,"$7,499 ",Manual,27243,Petrol,125,54.3,1.2,ford
 Polo,2020,"$15,231 ",Manual,1822,Petrol,145,47.9,1,volkswagen
 C Class,2016,"$13,990 ",Manual,57138,Diesel,20,68.9,2.1,merc
 C Class,2016,"$16,200 ",Manual,23216,Diesel,20,68.9,1.6,merc
 Fiesta,2018,"$14,990 ",Manual,8895,Petrol,150,65.7,1,ford
 X3,2019,"$33,480 ",Automatic,8345,Diesel,145,54.3,2,BMW
 GLA Class,2015,"$17,000 ",Automatic,28952,Diesel,125,55.4,2.1,merc
 E Class,2018,"$25,498 ",Semi-Auto,10267,Diesel,150,58.9,2,merc
 3 Series,2019,"$31,995 ",Semi-Auto,4995,Diesel,145,52.3,2,BMW
 A4,2019,"$25,990 ",Automatic,5500,Petrol,145,38.7,2,Audi
 Mokka X,2017,"$10,995 ",Manual,9988,Petrol,205,42.2,1.6,vauxhall
 GLE Class,2016,"$24,998 ",Semi-Auto,42913,Diesel,200,47.9,2.1,merc
 A Class,2015,"$11,200 ",Automatic,38776,Diesel,20,68.9,2.1,merc
 E Class,2019,"$28,480 ",Semi-Auto,14827,Diesel,145,58.9,2,merc
 A3,2018,"$18,990 ",Manual,6321,Petrol,145,50.4,2,Audi
 Kuga,2019,"$17,995 ",Manual,10701,Petrol,145,39.2,1.5,ford
 Focus,2013,"$5,995 ",Manual,63784,Petrol,30,56.5,1,ford
 A4,2016,"$15,450 ",Semi-Auto,43420,Petrol,30,55.4,2,Audi
 Q7,2017,"$49,995 ",Semi-Auto,39300,Diesel,150,39.2,4,Audi
 GLA Class,2015,"$15,020 ",Automatic,63884,Diesel,30,62.8,2.1,merc
 GLA Class,2016,"$19,490 ",Semi-Auto,29766,Diesel,125,56.5,2.1,merc
 Golf,2016,"$21,892 ",Semi-Auto,35640,Petrol,200,39.8,2,volkswagen
 1 Series,2015,"$10,388 ",Manual,28640,Diesel,0,83.1,1.5,BMW
 Kuga,2019,"$15,995 ",Manual,16697,Diesel,145,54.3,1.5,ford
 Auris,2016,"$13,495 ",Automatic,35417,Hybrid,0,72.4,1.8,toyota
 Q3,2019,"$34,950 ",Automatic,3225,Petrol,145,30.7,2,Audi
 A3,2018,"$15,840 ",Manual,22710,Diesel,145,68.9,1.6,Audi
 Focus,2013,"$7,300 ",Manual,48881,Diesel,20,67.3,1.6,ford
 I10,2017,"$6,989 ",Manual,13625,Petrol,20,60.1,1,hyundi
 Golf,2019,"$17,298 ",Manual,5385,Petrol,145,47.1,1.5,volkswagen
 A Class,2020,"$25,879 ",Semi-Auto,1000,Petrol,145,53.3,1.3,merc
 Kuga,2019,"$20,499 ",Manual,1987,Petrol,145,35.3,1.5,ford
 2 Series,2019,"$33,440 ",Automatic,10,Diesel,145,64.2,2,BMW
 Astra,2018,"$12,999 ",Manual,17466,Petrol,145,45.6,1.6,vauxhall
 3 Series,2018,"$17,250 ",Automatic,15189,Diesel,145,67.3,2,BMW
 Mokka X,2016,"$9,698 ",Manual,30841,Petrol,200,42.2,1.6,vauxhall
 Corsa,2017,"$10,495 ",Automatic,16837,Petrol,145,47.1,1.4,vauxhall
 EcoSport,2018,"$13,697 ",Manual,16815,Diesel,145,68.9,1.5,ford
 E Class,2017,"$18,791 ",Semi-Auto,52232,Diesel,20,67.3,2,merc
 A1,2016,"$12,999 ",Manual,22085,Petrol,30,55.4,1.4,Audi
 C-HR,2017,"$16,499 ",Manual,12000,Petrol,145,47.1,1.2,toyota
 Tucson,2016,"$16,995 ",Manual,15507,Diesel,125,58.9,2,hyundi
 5 Series,2020,"$36,990 ",Semi-Auto,10,Diesel,145,60.1,3,BMW
 Golf,2018,"$13,998 ",Semi-Auto,17595,Petrol,145,57.7,1,volkswagen
 Focus,2018,"$13,498 ",Manual,11206,Petrol,145,57.7,1,ford
 Corsa,2011,"$4,495 ",Automatic,48435,Petrol,165,44.8,1.4,vauxhall
 Fiesta,2018,"$10,700 ",Manual,14126,Petrol,145,65.7,1,ford
 Golf,2016,"$17,322 ",Semi-Auto,29426,Diesel,30,62.8,2,volkswagen
 Focus,2015,"$8,500 ",Manual,32620,Diesel,0,74.3,1.5,ford
 Grandland X,2018,"$14,495 ",Manual,8755,Petrol,145,55.4,1.2,vauxhall
 4 Series,2019,"$22,480 ",Semi-Auto,4020,Diesel,145,60.1,2,BMW
 Fabia,2019,"$12,991 ",Manual,4564,Petrol,145,52.3,1,skoda
 Meriva,2016,"$6,498 ",Manual,43121,Petrol,150,47.1,1.4,vauxhall
 Q5,2016,"$23,912 ",Semi-Auto,33500,Diesel,200,45.6,3,Audi
 GLA Class,2019,"$23,899 ",Semi-Auto,12131,Diesel,145,67.3,2.1,merc
 Tiguan,2020,"$29,995 ",Manual,10,Diesel,145,47.9,2,volkswagen
 Fiesta,2014,"$7,200 ",Manual,23594,Petrol,0,65.7,1,ford
 Astra,2019,"$14,799 ",Manual,2473,Diesel,145,58.9,1.6,vauxhall
 Tourneo Connect,2015,"$9,295 ",Manual,47904,Diesel,125,56.5,1.6,ford
 A4,2019,"$26,490 ",Semi-Auto,6214,Petrol,145,38.7,2,Audi
 1 Series,2017,"$20,995 ",Semi-Auto,22000,Petrol,150,39.8,3,BMW
 Adam,2016,"$7,121 ",Manual,19568,Petrol,125,52.3,1.4,vauxhall
 Tiguan,2019,"$30,991 ",Manual,2000,Diesel,145,42.2,2,volkswagen
 Fiesta,2016,"$10,499 ",Manual,25049,Petrol,20,62.8,1,ford
 Tucson,2017,"$14,550 ",Semi-Auto,12322,Diesel,125,57.6,1.7,hyundi
 Corsa,2016,"$7,799 ",Manual,25690,Petrol,30,55.4,1.4,vauxhall
 Mokka,2014,"$5,450 ",Manual,86318,Diesel,30,62.8,1.7,vauxhall
 Aygo,2018,"$8,700 ",Manual,9899,Petrol,145,56.5,1,toyota
 Arteon,2020,"$28,990 ",Semi-Auto,115,Petrol,145,47.1,2,volkswagen
 Fiesta,2018,"$11,200 ",Manual,19550,Petrol,145,56.5,1,ford
 A6,2016,"$19,395 ",Semi-Auto,27764,Diesel,30,61.4,2,Audi
 Yaris,2019,"$12,495 ",Manual,3099,Petrol,145,47.9,1.5,toyota
 Astra,2017,"$9,210 ",Manual,20754,Petrol,145,51.4,1.4,vauxhall
 A4,2019,"$43,990 ",Semi-Auto,5505,Diesel,150,40.4,3,Audi
 Q3,2020,"$36,000 ",Semi-Auto,3000,Petrol,145,31.4,2,Audi
 Astra,2016,"$8,499 ",Manual,38466,Petrol,125,51.4,1.4,vauxhall
 RAV4,2012,"$6,980 ",Manual,74510,Diesel,205,47.1,2.2,toyota
 Corsa,2018,"$10,479 ",Automatic,22608,Petrol,150,39.8,1.4,vauxhall
 Meriva,2016,"$7,991 ",Manual,8094,Petrol,145,47.1,1.4,vauxhall
 Octavia,2019,"$16,995 ",Manual,24,Diesel,145,68.9,1.6,skoda
 Mokka X,2019,"$12,680 ",Manual,18372,Petrol,145,39.2,1.4,vauxhall
 Kuga,2019,"$18,000 ",Manual,15269,Diesel,145,38.2,2,ford
 Focus,2016,"$12,799 ",Manual,48537,Diesel,20,67.3,2,ford
 TT,2016,"$19,485 ",Manual,28402,Diesel,30,62.8,2,Audi
 Fabia,2017,"$12,495 ",Semi-Auto,10683,Petrol,145,60.1,1.2,skoda
 Viva,2016,"$5,720 ",Manual,28708,Petrol,20,62.8,1,vauxhall
 Corsa,2007,"$1,499 ",Manual,96468,Petrol,165,45.6,1.4,vauxhall
 Golf,2017,"$13,800 ",Manual,18650,Diesel,145,61.4,1.6,volkswagen
 Ka+,2018,"$8,300 ",Manual,23043,Petrol,150,57.7,1.2,ford
 Golf,2017,"$23,975 ",Semi-Auto,12187,Petrol,145,39.2,2,volkswagen
 Fiesta,2016,"$8,791 ",Manual,22542,Petrol,0,65.7,1,ford
 GLS Class,2019,"$48,249 ",Semi-Auto,6510,Diesel,145,37.2,3,merc
 Fiesta,2016,"$8,291 ",Manual,33331,Petrol,0,65.7,1,ford
 Tucson,2019,"$21,995 ",Manual,4425,Petrol,150,34.9,1.6,hyundi
 Corsa,2019,"$9,790 ",Manual,19954,Petrol,145,44.8,1.4,vauxhall
 Santa Fe,2016,"$19,797 ",Manual,14785,Diesel,200,46.3,2.2,hyundi
 Auris,2014,"$11,000 ",Automatic,54669,Hybrid,0,76.4,1.8,toyota
 Polo,2016,"$8,995 ",Manual,42609,Petrol,20,60.1,1.2,volkswagen
 Astra,2016,"$9,298 ",Manual,22223,Petrol,125,51.4,1.4,vauxhall
 I30,2015,"$8,699 ",Automatic,33791,Diesel,20,67.3,1.6,hyundi
 A Class,2014,"$11,040 ",Semi-Auto,31905,Diesel,20,70.6,1.5,merc
 E Class,2017,"$17,700 ",Automatic,34786,Diesel,20,72.4,2,merc
 3 Series,2016,"$12,950 ",Manual,33301,Petrol,145,49.6,1.5,BMW
 Focus,2019,"$19,500 ",Automatic,5091,Diesel,145,54.3,1.5,ford
 X5,2019,"$49,995 ",Semi-Auto,1972,Diesel,145,37.7,3,BMW
 Golf,2016,"$7,499 ",Manual,85788,Diesel,20,72.4,1.6,volkswagen
 S Class,2017,"$34,999 ",Semi-Auto,22906,Diesel,145,52.3,3,merc
 4 Series,2020,"$26,950 ",Semi-Auto,10,Diesel,145,65.7,2,BMW
 Fabia,2015,"$6,359 ",Manual,56162,Diesel,0,83.1,1.4,skoda
 Yaris,2017,"$12,350 ",Automatic,18000,Hybrid,135,76.3,1.5,toyota
 Focus,2017,"$11,491 ",Manual,5178,Petrol,20,61.4,1,ford
 5 Series,2015,"$10,750 ",Manual,68310,Diesel,30,65.7,2,BMW
 2 Series,2019,"$23,246 ",Semi-Auto,6139,Petrol,145,47.9,2,BMW
